;No_disposition;Date_mutation;Nature_mutation;Valeur_fonciere;No_voie;Type_de_voie;Voie;Code_postal;Commune;Code_departement;Surface_reelle_bati;Nombre_pieces_principales
2482645;1;2019-07-01;Vente;450000.0;11.0;RUE;JEAN NICOT;75007.0;PARIS 07;75;49.0;2.0
2482647;1;2019-08-01;Vente;1605000.0;217.0;RUE;DE L UNIVERSITE;75007.0;PARIS 07;75;173.0;6.0
2482650;1;2019-07-01;Vente;680000.0;6.0;RUE;DES FOSSES ST MARCEL;75005.0;PARIS 05;75;57.0;3.0
2482651;1;2019-07-01;Vente;680000.0;6.0;RUE;DES FOSSES ST MARCEL;75005.0;PARIS 05;75;57.0;3.0
2482654;1;2019-11-01;Vente;416000.0;3.0;RUE;DE L ECOLE POLYTECHNIQUE;75005.0;PARIS 05;75;38.0;2.0
2482655;1;2019-10-01;Vente;475000.0;6.0;AV;DE LOWENDAL;75007.0;PARIS 07;75;35.0;1.0
2482656;1;2019-02-01;Vente;474730.0;6.0;RUE;DE SAVOIE;75006.0;PARIS 06;75;37.0;2.0
2482657;1;2019-01-16;Vente;2200000.0;14.0;RUE;DE VARENNE;75007.0;PARIS 07;75;135.0;5.0
2482658;1;2019-01-15;Vente;2200000.0;11.0;AV;DE SUFFREN;75007.0;PARIS 07;75;105.0;3.0
2482659;1;2019-01-15;Vente;2950000.0;35.0;RUE;DE GRENELLE;75007.0;PARIS 07;75;140.0;4.0
2482660;1;2019-01-17;Vente;484800.0;14.0;RUE;PASCAL;75005.0;PARIS 05;75;34.0;3.0
2482662;1;2019-10-01;Vente;1390000.0;12.0;RUE;SOUFFLOT;75005.0;PARIS 05;75;77.0;4.0
2482663;1;2019-10-01;Vente;1230000.0;295.0;RUE;SAINT JACQUES;75005.0;PARIS 05;75;71.0;2.0
2482667;1;2019-01-15;Vente;513000.0;9.0;RUE;STANISLAS;75006.0;PARIS 06;75;33.0;1.0
2482669;1;2019-11-01;Vente;610000.0;63.0;RUE;MONGE;75005.0;PARIS 05;75;40.0;3.0
2482670;1;2019-02-01;Vente;947500.0;12.0;RUE;VAVIN;75006.0;PARIS 06;75;70.0;3.0
2482674;1;2019-01-15;Vente;173000.0;66.0;RUE;DE GRENELLE;75007.0;PARIS 07;75;17.0;1.0
2482676;1;2019-10-01;Vente;1811115.5;15.0;RUE;DE MEZIERES;75006.0;PARIS 06;75;86.0;4.0
2482677;1;2019-04-01;Vente;1250000.0;166.0;RUE;DE GRENELLE;75007.0;PARIS 07;75;83.0;4.0
2482680;1;2019-09-01;Vente;770000.0;113.0;RUE;DU CHERCHE MIDI;75006.0;PARIS 06;75;35.0;2.0
2482681;1;2019-09-01;Vente;1154000.0;5.0;RUE;DE LA BUCHERIE;75005.0;PARIS 05;75;90.0;5.0
2482682;1;2019-07-01;Vente;821200.0;2.0;RUE;DE TOURNON;75006.0;PARIS 06;75;51.0;1.0
2482685;1;2019-10-01;Vente;1165000.0;84.0;RUE;DE GRENELLE;75007.0;PARIS 07;75;90.0;4.0
2482687;1;2019-10-01;Vente;2525000.0;41.0;AV;CHARLES FLOQUET;75007.0;PARIS 07;75;127.0;4.0
2482688;1;2019-01-22;Vente;840000.0;12.0;RUE;SAINT PLACIDE;75006.0;PARIS 06;75;64.0;3.0
2482689;1;2019-10-01;Vente;500000.0;15.0;RUE;DE L ECHAUDE;75006.0;PARIS 06;75;28.0;2.0
2482690;1;2019-01-14;Vente;1495000.0;8.0;RUE;JOSE MARIA DE HEREDIA;75007.0;PARIS 07;75;100.0;4.0
2482692;1;2019-01-17;Vente;470400.0;145.0;RUE;ST DOMINIQUE;75007.0;PARIS 07;75;45.0;2.0
2482693;1;2019-01-17;Vente;470400.0;145.0;RUE;ST DOMINIQUE;75007.0;PARIS 07;75;44.0;2.0
2482694;1;2019-11-01;Vente;480000.0;22.0;RUE;SAINT SEVERIN;75005.0;PARIS 05;75;18.0;1.0
2482695;1;2019-11-01;Vente;480000.0;22.0;RUE;SAINT SEVERIN;75005.0;PARIS 05;75;17.0;1.0
2482696;1;2019-01-17;Vente;447000.0;145.0;RUE;ST DOMINIQUE;75007.0;PARIS 07;75;44.0;2.0
2482697;1;2019-01-17;Vente;447000.0;145.0;RUE;ST DOMINIQUE;75007.0;PARIS 07;75;45.0;2.0
2482699;1;2019-01-15;Vente;1884200.0;15.0;RUE;DE LA COMETE;75007.0;PARIS 07;75;128.0;5.0
2482703;1;2019-08-01;Vente;1930000.0;14.0;RUE;DE MARTIGNAC;75007.0;PARIS 07;75;154.0;5.0
2482705;1;2019-01-14;Vente;2200000.0;143.0;AV;DE SUFFREN;75007.0;PARIS 07;75;194.0;7.0
2482706;1;2019-01-21;Vente;495000.0;6.0;BD;DE L HOPITAL;75005.0;PARIS 05;75;44.0;3.0
2482707;1;2019-03-01;Vente;350000.0;68.0;RUE;LHOMOND;75005.0;PARIS 05;75;39.0;1.0
2482708;1;2019-01-18;Vente;233000.0;10.0;RUE;AUGEREAU;75007.0;PARIS 07;75;25.0;1.0
2482709;1;2019-01-22;Vente;2600000.0;42.0;RUE;NOTRE DAME DES CHAMPS;75006.0;PARIS 06;75;160.0;6.0
2482711;1;2019-01-16;Vente;28900.0;62.0;RUE;DES ECOLES;75005.0;PARIS 05;75;114.0;5.0
2482713;1;2019-01-22;Vente;590000.0;47.0;RUE;CLAUDE BERNARD;75005.0;PARIS 05;75;38.0;3.0
